ID,Sent1,Sent2,Score
1220,UK Sky News cameraman killed in Egypt,Sky News Cameraman Killed In Egypt,4.8
1223,Protests continue in tense Ukraine capital,Protests Continue In Ukraine's Capital,5.0
1224,Stocks rise in early trading,Stocks inch higher in early trading,4.4
1225,FBI audio expert testifies in Zimmerman trial,Jury selection begins in Zimmerman's trial,1.4
1227,Iranian nuclear talks to be extended to November,Iran nuclear talks extended to November 24,4.4
1229,Two French journalists killed after Mali kidnapping,"Two French journalists abducted, killed in Northern Mali",4.6
1231,Headlines in major Iranian newspapers on Dec 14,Headlines in major Iranian newspapers on July 29,2.0
1232,Boston bombing suspect to appear in court,Boston bombing suspect buried,1.2
1233,Iran warns of spillover of possible war on Syria,"Iranian Delegation Heads to Lebanon, Syria",1.8
1234,Death toll in India building collapse hits 42,Toll from India building collapse hits 25,3.2
1238,Obama announces creation of twin manufacturing hubs,US stocks retreat on manufacturing data,0.4
1239,Five charged with terrorism offences,Five People Charged With Terror Offences,4.8
1240,President Obama reveals plans to withdraw troops from Afghanistan by 2016,US Government Shutdown: Obama tells Republicans to lift threat to US economy if they want talks,0.8
1241,"US, NATO Raise Doubts Russia Pulled Back from Ukraine Border","No Sign of Russian Withdrawal From Ukraine Border, Official Says",2.6
1242,Former Pakistan President Pervez Musharraf arrested again,Former Pakistan military ruler Pervez Musharraf granted bail,3.0
1246,FTSE Bursa Malaysia update: 11.30am,FTSE Bursa Malaysia update: 3.00pm,3.4
1253,Glasgow Helicopter Crash Search Ends,Glasgow Helicopter Crash: Woman PC Is Victim,2.8
1254,Iran backs proposal for meeting on Syria conflict,Iran says Israel lying about rockets,0.4
1261,Quotations in the News,Quotations of the day,3.2
1263,US drone strike 'kills 4 militants in Pakistan',US drone strike kills 10 in Pakistan,3.8
1264,Philip leaves hospital after 11 days,Mandela leaves hospital after 10 days,1.8
1265,Bone fragment 'could be King Alfred',Remains in Winchester could be King Alfred the Great,4.6
1266,Israel frees second group of Palestinian prisoners,Israel releases 26 Palestinian prisoners,3.8
1267,Thai government says elections Feb. 2,Philippines government says peace talks with communists have failed,0.0
1269,Two skydivers dead after colliding during US jump,Two skydivers dead after colliding during jump in Arizona,3.8
1271,UK's Ex-Premier Margaret Thatcher Dies At 87,Former British PM Margaret Thatcher dies,4.0
1273,'Iron Man' jetpacks spark concerns in Hawaii,'Iron Man' Jetpacks Spark Concerns,3.8
1274,Israel frees Palestinian prisoners,Israel releases 26 Palestinian prisoners,4.6
1275,France Says Won't 'Shirk Responsibilities' in Syria,France urges EU to be united on Syria,2.6
1276,"Boston bombing suspect identified on surveillance video, no arrest","Boston bombing suspect was under FBI surveillance, says mother",3.4
1279,China's anger at N. Korea overcomes worry over US,China's anger at North Korea overcomes worry over U.S. stealth flights,3.2
1283,China yuan strengthens to new high against USD,China yuan weakens to 6.1705 against USD,2.2
1285,Man held after teen shot in Belfast,"Man, 40, arrested after shooting",3.2
1288,Police stop Maldives presidential election,Keita Wins Mali Presidential Election,1.2
1290,Indian army kill 3 militants in Indian-controlled Kashmir,Indian troops kill militant commander in Indian-controlled Kashmir,3.6
1294,Car bomb kills 20 in northwest Syria,Car bomb kills 40 in northwest Pakistan,1.2
1296,Colorado Governor Visits School Shooting Victim,Colorado governor visits school shooting victim,5.0
1297,Iran ups oil swap with eastern neighbors,Iran urges rapid release of diplomat,0.4
1298,Turkey president appeals for calm,Texas house provisionally approves abortion law,0.0
1299,North Korea test fires 30 missiles into the sea,N Korea 'fires 100 shells' into the sea,2.8
1301,Man dies in Co Donegal house fire,Woman dies in Co Cork house fire,2.2
1302,"Doha gas blast kills 12, injures dozens","Syria missile kills 26, including 8 kids",0.6
1303,Polar bear DNA 'may help fight obesity',Polar bear study may boost fight against obesity,4.8
1307,Polling stations open at Ukrainian presidential election,Nominations open for e.TV Ghana Most Influential Awards,0.2
1308,India Ink: Image of the Day: April 21,India Ink: Image of the Day: May 2,2.6
1311,'Fast &amp; Furious' star Paul Walker dies in car crash,"Paul Walker dead: Fast and Furious star, 40, killed in car crash",4.8
1315,Two French journalists killed in Mali,France confirms two French journalists killed in Mali,5.0
1316,Air strike kills one man in Syria's Hama,US drone strike kills eleven in Pakistan,2.8
1319,Pakistani Taliban chief Hakimullah Mehsud killed in drone strike,"Pakistani Taliban 'elect new chief', vow 'unprecedented' revenge",1.2
1321,"Turkish PM, president clash over reply to protests",Turkish president calls for calm amid nationwide protests,2.6
1322,Gunmen kill nine tourists in Pakistan,Gunmen Attack Hotel In Remote Pakistani Province,3.2
1323,Israel and Hamas to observe brief Gaza truce,Israel And Hamas 'Accept Temporary Truce',4.6
1329,China's troubled Xinjiang hit by more violence,China's online population rises to 618 mln,0.4
1333,Relatives scuffle with police after China fire kills 120,Angry families demand answers after China plant fire kills 119,3.8
1334,Iran rejects claim on chlorine bombs,Iran rejects MKO claim on nuclear site,2.4
1335,India Minister's wife died 'unnatural death' after affair rumours,Minister's wife's death 'unnatural',3.8
1338,"3 dead, 1 hurt in shooting at S Carolina oceanfront motel","4 dead, 30 injured in train collision near Moscow",0.2
1340,Burial of Boston bombing suspect appears legal,'Ready to go home:' Last Boston bombing victim leaves the hospital,1.0
1341,5 killed in S China road cave-in,02:41 156 killed in China earthquake,1.2
1342,South Africa president: Mandela is improving,Afghan president delays signing US deal,0.0
1343,"World News Update, what you need to know",Labour's 50p tax rate: what you need to know,0.6
1344,Syrian civil war in photos,Syrian civil war peace talks at risk from Iran invitation,1.2
1351,Strong new quake hits shattered Pak region,6.8 quake in shattered Pakistan region,4.4
1353,House blaze kills 7 in northern Pakistan,US drone strike kills 8 in NW Pakistan,1.4
1357,Abdullah Widens Lead in Afghan Presidential Poll,Explosions heard near Afghan presidential palace,1.0
1358,Imran blames rival for colleague murder,Pakistans Imran blames rival for killing party member,4.2
1361,Bangladesh Honors Factory Victims,Retailers back Bangladesh factory safety pact,2.8
1362,Man Who Set Himself on Fire on National Mall Has Died,"Man Sets Himself on Fire on National Mall, Flown to Hospital",3.0
1366,Japan defends dolphin hunt after US criticism,Japan defends dolphin hunts after criticism from US,5.0
1367,"Bomb blast rocks shopping mall in Nigeria, 12 killed",Bomb blasts before Indian opposition rally kill 4,1.4
1368,"Philippines typhoon death toll at 4,460: UN","Philippines typhoon death toll rises above 5,000",3.4
1371,Police fire teargas on Venezuelan vote protesters,Chavez heir Maduro wins Venezuela's presidency,0.6
1373,Wave of attacks kills at least 95 in Iraq,Suicide attack kills at least 12 in northern Iraq,1.8
1378,Top Chinese political advisor meets Greek PM,Top Chinese political advisor meets Yemeni president,3.4
1379,Palestinian diplomat injured in explosion in Prague,Palestinian ambassador injured in apartment blast,4.0
1380,Ukraine leader pledges crisis talks,Ukraine Leader Pledges Crisis Talks,5.0
1382,7 killed in attacks in Iraq,16 killed in series of attacks in Iraq,3.0
1383,Floods in central Europe continue to create havoc,Europe floods continue to create havoc,4.6
1384,US military presence in East Asia,NATO ups military presence amid Russian threat,1.2
1388,US believes Syrian government used chemical weapons,US suspects Syria used chemical weapons,5.0
1389,World powers and Iran to resume expert nuclear talks on Dec. 30,"Iran nuclear experts, world powers to resume talks next week",4.0
1390,Egypt's Muslim Brotherhood Refuses to Back Down,Egyptian court sentences Muslim Brotherhood leader to life in prison,1.4
1391,"At least 6 dead in Canada bus, train crash",At least 6 dead in Paris train crash,2.2
1393,"Chinese president meets Greek PM, calling for stronger partnership",Chinese president meets Indian vice president,1.8
1394,AstraZeneca pays $4.1bn to buy Bristol-Myers Squibb out of diabetes alliance,AstraZeneca to buy Bristol out of diabetes venture for up to $4.1 billion,5.0
1395,Italian fugitive arrested in Dominican Republic,Australian icebreaker arrives in East Antarctica for new rescue bid,0.0
1398,"India, US to hold talks on China next week",Egypt to hold more talks with IMF on loan next week,1.4
1400,FAA lifts ban on U.S. flights to Tel Aviv,FAA lifts ban on U.S. flights to Israel,4.0
1402,Israel Carrying Out Ground Offensive In Gaza,Israel Launches Ground Offensive In Gaza,4.8
1403,Luxembourg PM quits amid spying scandal,Luxembourg votes after spying row,2.2
1404,"Ehud Olmert, former Israeli prime minister, sentenced to six years in jail for corruption",Ehud Olmert sentenced to six years in Israel,3.8
1406,Brahimi apologises to Syria over lack of peace progress,Mediator apologizes to Syrians for lack of peace progress,3.8
1408,Egyptian protesters issue Morsi resignation ultimatum,Ukraine protesters battle police in new clashes,0.4
1410,5 Things to Know About the Sochi Olympics,7 Things to Know About Ethanol,0.0
1412,China stocks open lower on Wednesday,China's stocks close lower on Monday,2.6
1413,US delays missile test as tensions rise,William Hague: US decision to halt missile test 'sensible',3.4
1414,Fire in Beijing kills 10,Fire in Beijing kills ten,5.0
1417,World's oldest man dies at 116,Japan: World's Oldest Man Ever Dies Aged 116,4.6
1421,"India, China ink border pact; 8 other agreements","India, China ink agreement on trans-border rivers",3.8
1425,"3 dead, 4 missing in central China construction accident","One dead, 8 missing in Vietnam boat accident",0.4
1426,Pakistanis vote in landmark election,Pakistan holds landmark election as 29 killed in attacks,3.4
1427,Venezuela expels three U.S. diplomats,Venezuela Expels 3 U.S. Diplomats,5.0
1430,"Heavy smog hits north China city, flights cancelled","Heavy Smog Hits North China City, Flights Canceled",5.0
1433,Russia claims to have foiled possible terror act,Russia says ballistic 'objects' fired in Mediterranean,1.4
1436,3 Chinese tourists killed in Pakistan,Seven kidnappers killed in southern Nigeria,0.4
1437,Sevens World Cup within Kenya’s reach,Clash of Styles in Court Opens Trial in Young Man’s Death,0.0
1438,"US, China fail to paper over cracks in ties",China: Relief in focus as hope for missing fades,0.4
1439,Gunmen kill 10 foreign tourists in northern Pakistan,"Islamic militants kill 9 foreign tourists, 1 Pakistani",2.6
1440,Austrian found hoarding 56 stolen skulls in home museum,Stolen skulls found in home museum,3.4
1443,Egypt Launches Offensive Against Sinai Militants,Egypt launches offensive against Sinai insurgents,5.0
1444,Record-setting Southwest heat wave turns fatal,"At least 1 dead, 40 hospitalized in Southwest heat wave",4.0
1446,Detroit eligible for bankruptcy protection: U.S. judge,Detroit eligible for bankruptcy protection,4.6
1447,Algeria president gets therapy after stroke: state media,Bulgarian president tries to break election stalemate,0.4
1448,British Nobel-Winning Author Doris Lessing Dies,Nobel Prize winning author Doris Lessing dies,4.2
1452,Israeli government authorises new settlements ahead of talks,Israel Approves New Settlement Homes Ahead of Peace Talks,4.8
1454,World Cup live: France 0-0 Germany,World Cup live: Germany 0-0 Ghana,1.4
1456,Tokyo to host 2020 Games,Tokyo wins race to host 2020 Olympic Games,4.8
1458,Pakistani Taliban chief killed in US drone strike,Funeral for Pakistan Taliban chief 'set to take place',1.6
1459,Putin signs Crimea annexe treaty,09:32 Putin signs off Crimea annexation,3.6
1460,FAA continues ban on US flights to Tel Aviv,FAA lifts ban on U.S. flights to Tel Aviv,1.8
1463,France warns of extremists benefiting from Egypt violence,France fears extremists will benefit from Egypt violence,4.4
1467,"Chinese envoy rebuts Vietnamese, Philippine accusations over South China Sea",China's Xi tells Vietnam wants peace in South China Sea,3.2
1469,Four more people arrested over Australia's largest illegal tobacco importation syndicate,Police target illegal tobacco syndicate,2.8
1471,Yemen: Fighting in north kills over 120,Janet Yellen: Five things you might not know,0.0
1472,"Obama moves to fill Fed board, taps Fischer to be No. 2",Obama voices willingness to talk with GOP on budget,0.4
1474,Pakistan's Musharraf charged over Bhutto murder,Pakistan's Musharraf Charged In Bhutto Death,4.8
1475,Iran's president condemns use of chemical weapons in Syria,Probe alleged use of chemical weapons in Syria,1.6
1476,A society fraying at the edges,Old TV alignments crack at the edges,0.4
1477,UN Invites Iran to Syrian Peace Conference,UN: Iran Invited to Attend Syrian Peace Conference,5.0
1478,Italy bus crash death toll rises,Starbucks clears college degree path for workers,0.0
1480,Soccer Ref Punched by Player Dies,Police: Utah soccer referee punched by player dies,4.2
1481,Angela Merkel headed for narrow win in German elections,Malawi's new president sworn in after disputed elections,0.4
1482,British teenager killed in fall from Magaluf hotel,British teenager killed in Magaluf hotel fall,5.0
1484,Israel detains 37 Palestinians as arrest operation continues,Israel criticizes Palestinian stance on settlers,1.2
1485,Rebels kill 21 civilians in Syria Alawite village,Bomb kills 18 civilians in Afghanistan,1.2
1486,World sends emergency relief to battered Philippines,Typhoon Haiyan: world sends relief to battered Philippines,5.0
1489,"Palestinian hunger striker, Israel reach deal",Palestinian activist detained in Israeli raid,1.2
1493,Assad says Syria will comply with UN arms resolution,Syria's Assad vows to comply with U.N. resolution,4.8
1496,South Korean President Sorry For Ferry Response,S. Korean president 'sorry' for ferry disaster,4.6
1498,Food price hikes raise concerns in Iran,American Chris Horner wins Tour of Spain,0.0
1499,Obama made last-minute decision on Syria approval,Obama mulls limited military action in Syria,2.0
